ID,GioiTinh,KhuVuc,ThuNhap,FIT1,FIT2,FIT3,FIT4,CAR1,CAR2,CAR3,CAR4,REP1,REP2,REP3,REP4,COS1,COS2,COS3,COS4,SOC1,SOC2,SOC3,SOC4,COM1,COM2,COM3,COM4,LOC1,LOC2,LOC3,LOC4,DEC1,DEC2,DEC3,DEC4
1,1,0,1,4,4,5,4,3,3,4,4,5,4,4,5,4,4,4,3,3,4,4,4,4,4,4,3,3,4,3,3,4,5,4,4
2,1,0,1,5,5,5,5,4,5,4,5,4,3,4,3,4,4,3,4,3,4,3,4,5,3,4,3,3,4,4,3,3,3,4,4
3,1,0,1,4,3,3,4,4,5,5,4,4,4,5,5,3,4,3,3,4,4,4,3,5,4,4,5,4,3,4,4,4,4,4,3
4,1,0,1,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,4,4,3,5,5,4,5,3,4,3,3,3,3,4,3
5,1,0,1,4,4,4,4,3,3,3,4,5,5,4,4,3,4,4,3,4,3,4,3,3,3,3,3,4,4,3,4,4,4,4,3
6,1,0,1,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,3,2,2,2,2,4,3,4,5,3,3,3,3,3,3,3,3
7,1,0,1,4,5,5,4,4,4,4,4,4,4,4,5,3,3,3,3,4,3,3,4,5,4,5,5,4,4,4,4,4,4,4,4
8,1,0,1,5,4,4,4,4,3,3,4,3,3,3,3,4,4,4,4,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
9,1,0,1,4,3,4,4,4,4,5,5,5,5,5,4,3,3,4,3,3,4,3,3,3,4,4,4,4,3,4,5,4,4,4,4
10,1,0,1,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
11,1,0,1,4,4,3,4,4,3,4,4,4,4,4,5,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,3,4
12,1,0,1,4,4,5,5,5,5,4,4,3,3,3,4,4,5,4,4,4,3,5,3,3,3,3,3,4,4,4,4,4,4,4,4
13,1,0,1,4,4,5,4,4,4,4,4,4,5,3,5,4,4,3,4,3,4,3,3,4,4,4,4,4,4,5,4,5,4,4,4
14,1,0,1,5,4,5,5,4,5,4,4,4,3,4,4,4,4,5,5,3,3,4,4,3,4,2,2,4,3,3,4,5,5,5,5
15,1,0,1,4,4,4,4,5,5,5,5,4,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,5,5,4,4,4,4,4
16,1,0,1,5,5,5,5,4,4,5,4,3,4,4,4,3,3,2,3,4,4,4,3,4,4,4,4,4,4,4,5,4,5,4,4
17,1,0,1,4,5,4,4,4,4,4,4,3,4,3,3,4,3,3,4,3,2,3,3,4,4,4,4,4,4,4,4,4,3,4,4
18,1,0,1,3,5,4,5,4,5,5,4,4,4,4,5,4,4,4,4,3,4,3,3,4,4,5,5,3,4,3,2,3,4,3,4
19,1,0,1,5,5,5,5,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
20,1,0,1,5,5,4,4,3,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,3,4,4,3,4,4,5,5
21,1,0,1,3,3,3,3,5,5,5,5,4,5,3,5,4,4,5,4,2,2,3,2,3,4,4,3,5,5,4,4,4,4,4,3
22,1,0,1,5,5,5,5,4,4,4,5,5,4,4,5,4,5,4,5,5,4,4,4,4,5,5,5,4,3,4,4,5,5,4,5
23,1,0,1,4,4,4,5,5,5,4,4,5,5,5,5,3,4,3,4,4,4,3,4,3,5,4,4,3,3,3,3,4,4,4,4
24,1,0,1,4,4,4,4,5,5,5,5,3,3,3,3,4,4,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3
25,1,0,1,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,3,3,2,4,4,4,4,4,3,4,5,3,3,4,4
26,1,0,1,5,4,5,5,4,4,4,4,5,4,5,4,3,3,4,3,3,4,3,3,2,3,3,2,4,4,4,4,4,4,4,4
27,1,0,1,4,4,4,4,5,5,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,3,5,4,4,4,4,4,4,4
28,1,0,1,3,3,3,3,4,3,5,4,4,4,4,5,3,2,3,3,3,3,3,3,4,3,4,4,3,3,3,3,3,4,3,4
29,1,0,1,3,4,4,4,5,4,5,4,4,5,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4
30,1,0,1,4,4,4,4,5,5,5,5,3,4,4,3,5,5,5,4,3,4,3,4,3,4,3,3,2,3,3,3,5,4,4,4
31,1,0,1,4,4,4,4,4,4,5,4,4,5,5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,5,5,5,5
32,1,0,1,4,5,4,4,4,5,5,4,5,5,5,5,4,4,5,5,3,3,3,3,4,4,4,4,4,4,4,4,5,4,4,5
33,1,0,1,5,5,4,4,3,4,2,3,4,3,3,4,4,5,5,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3
34,1,0,1,3,4,3,3,3,4,3,3,4,4,4,4,4,4,4,3,3,4,3,3,4,3,3,3,4,4,4,5,3,4,4,4
35,1,0,1,5,5,5,4,4,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,5,4,4,4,4,3,4,4,4,5,4,4
36,1,0,1,5,4,5,5,5,4,5,5,4,4,3,4,4,4,4,4,3,4,4,4,3,3,3,4,4,3,3,3,4,4,3,4
37,1,0,1,4,4,4,4,5,4,5,5,4,3,3,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
38,1,0,1,3,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,3,4
39,1,0,1,5,4,3,3,5,4,4,5,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,5,3,3,4,4,4,4,4,3
40,1,0,1,5,4,5,4,5,5,5,5,4,5,5,5,3,4,3,3,3,4,3,3,3,3,3,3,4,4,4,4,5,5,4,4
41,1,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,4,3,3,3,4,4,4,3,4
42,1,0,1,3,4,3,3,4,5,5,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,4,3,3,4,3,4,4,4,4
43,1,0,1,4,4,4,4,5,4,5,4,4,4,3,3,4,4,3,3,4,3,4,4,4,4,5,4,4,4,4,4,5,4,4,5
44,1,0,1,5,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,2,3,3,3,4,4,4,3,4,4,4,4,5,4,3,4
45,1,0,1,4,4,4,4,5,5,5,4,3,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,4,3
46,1,0,1,4,4,3,4,4,4,5,4,5,4,4,4,4,3,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,3,3,4
47,1,0,1,4,4,3,4,4,4,4,4,5,4,4,3,3,3,3,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,5
48,1,0,1,3,4,4,3,5,5,5,5,4,3,4,3,5,5,4,5,3,4,4,4,4,3,4,4,5,4,4,4,4,3,3,3
49,1,0,1,4,4,4,4,5,5,5,5,4,4,5,4,3,2,3,3,4,4,4,4,4,5,5,4,3,4,5,4,4,5,4,4
50,1,0,1,4,4,4,4,4,5,4,4,3,5,4,5,3,3,3,3,4,5,5,5,4,4,4,3,4,4,3,4,4,3,3,4
51,1,0,1,4,3,4,3,4,5,5,5,4,5,5,4,3,3,3,4,3,4,4,3,5,4,5,4,3,3,4,2,4,4,5,5
52,1,0,1,4,4,4,3,5,4,5,4,4,4,3,3,4,5,4,4,4,3,3,4,4,4,4,4,4,4,3,5,3,3,4,4
53,1,0,1,4,4,5,4,4,3,3,3,5,4,4,4,3,3,3,4,4,4,3,4,4,4,3,5,5,4,4,4,4,4,4,5
